i01 path /usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin
i01 binary ouro absent
i01 binary ouro-ledger absent
i01 binary ouro-fleet absent
i01 binary erl absent
i01 binary erlc absent
i01 binary beam.smp absent
i01 binary escript absent
i01 binary elixir absent
i01 binary iex absent
i01 binary mix absent
i01 binary rebar3 absent
i01 directory /usr/lib/erlang absent
i01 directory /usr/lib64/erlang absent
i01 directory /usr/local/lib/erlang absent
i01 directory /opt/erlang absent
i01 directory /usr/lib/elixir absent
i01 directory /usr/local/lib/elixir absent
i01 directory ~/.asdf/installs/erlang absent
i01 directory ~/.kerl absent
i01 directory ~/.local/share/mise/installs/erlang absent
i01 package erlang-base absent
i01 package erlang-base-hipe absent
i01 package esl-erlang absent
i01 package elixir absent
